left_velocity,right_velocity
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
86.400000,112.866667
135.466667,128.800000
155.000000,138.000000
150.200000,149.066667
157.066667,150.733333
181.666667,170.533333
190.533333,182.933333
189.666667,186.066667
191.533333,191.200000
203.066667,199.600000
205.200000,195.400000
209.400000,197.933333
208.800000,196.200000
214.666667,195.333333
210.733333,203.933333
207.200000,201.533333
211.866667,200.000000
212.466667,201.666667
220.666667,204.866667
207.200000,198.266667
207.266667,204.133333
210.333333,200.133333
206.866667,201.000000
205.266667,202.800000
194.666667,207.200000
179.466667,198.133333
172.200000,207.400000
162.466667,208.066667
157.000000,205.800000
144.933333,197.533333
141.133333,208.200000
161.200000,196.733333
162.866667,198.133333
176.800000,193.466667
182.266667,194.533333
191.533333,196.200000
201.200000,198.266667
205.600000,196.000000
207.400000,198.000000
212.200000,198.533333
198.933333,205.066667
165.400000,194.200000
161.066667,180.266667
150.866667,175.866667
144.266667,163.266667
128.466667,158.733333
-10.666667,100.133333
-32.000000,86.200000
-30.200000,69.600000
-30.400000,48.266667
-31.733333,39.600000
-29.866667,28.600000
-30.666667,19.733333
-39.866667,12.466667
-32.133333,0.000000
-23.533333,-1.266667
-13.933333,-2.466667
-8.400000,0.000000
-5.800000,0.000000
-5.866667,0.000000
-0.000000,3.466667
-0.000000,3.466667
-0.000000,3.466667
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
